,imagename,Channels,Height,Width,Zero_non_zero_pixel_ratio,minPixelValue,maxPixelValue,class
19123,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2660.tif,13,64,64,0.0,12.0,5372.0,AnnualCrop
19965,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_410.tif,13,64,64,0.0,11.0,5056.0,AnnualCrop
19924,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_251.tif,13,64,64,0.0,9.0,3913.0,AnnualCrop
21089,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_448.tif,13,64,64,0.0,13.0,5094.0,AnnualCrop
21560,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2052.tif,13,64,64,0.0,8.0,5349.0,AnnualCrop
20921,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1400.tif,13,64,64,0.0,12.0,4334.0,AnnualCrop
19937,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2551.tif,13,64,64,0.0,14.0,4385.0,AnnualCrop
21708,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_828.tif,13,64,64,0.0,7.0,4587.0,AnnualCrop
21113,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1988.tif,13,64,64,0.0,11.0,4517.0,AnnualCrop
21329,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_380.tif,13,64,64,0.0,8.0,4681.0,AnnualCrop
20526,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1229.tif,13,64,64,0.0,13.0,4600.0,AnnualCrop
18994,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1551.tif,13,64,64,0.0,12.0,3870.0,AnnualCrop
21297,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2272.tif,13,64,64,0.0,10.0,5474.0,AnnualCrop
21237,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_19.tif,13,64,64,0.0,9.0,5498.0,AnnualCrop
19798,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2985.tif,13,64,64,0.0,12.0,5166.0,AnnualCrop
21345,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_677.tif,13,64,64,0.0,9.0,4006.0,AnnualCrop
21125,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1321.tif,13,64,64,0.0,9.0,5384.0,AnnualCrop
20802,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_850.tif,13,64,64,0.0,8.0,4237.0,AnnualCrop
19442,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2487.tif,13,64,64,0.0,9.0,3209.0,AnnualCrop
21035,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_423.tif,13,64,64,0.0,13.0,5283.0,AnnualCrop
20958,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1676.tif,13,64,64,0.0,9.0,5001.0,AnnualCrop
21713,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1264.tif,13,64,64,0.0,10.0,4557.0,AnnualCrop
21674,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_76.tif,13,64,64,0.0,11.0,5445.0,AnnualCrop
19223,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1344.tif,13,64,64,0.0,10.0,4298.0,AnnualCrop
20811,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_464.tif,13,64,64,0.0,8.0,5489.0,AnnualCrop
19215,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_746.tif,13,64,64,0.0,9.0,5092.0,AnnualCrop
21031,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1459.tif,13,64,64,0.0,13.0,4780.0,AnnualCrop
21169,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_387.tif,13,64,64,0.0,11.0,4375.0,AnnualCrop
19014,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2397.tif,13,64,64,0.0,8.0,3614.0,AnnualCrop
